id,word,reading,polarity,pos_label,neg_label,choice1,choice2,choice3,choice4,correct,aliases,hint
1,おいしいご飯,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒントだよ
2,うれしいご飯,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント2
3,3,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント3
4,4,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント4
5,5,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント5
6,6,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント6
7,7,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント7
8,8,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント8
9,9,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント9
10,10,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント10
11,11,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント11
12,12,おいしいごはん,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント12
13,13,いみじい,pos,うれしい,かなしい,おおきい（大きい）,たのしい（楽しい）,とうとい（尊い）,あいらしい（愛らしい）,2,白米；白飯,ヒント13
